nome,squadra,confidence,status
Szczesny,Juventus,53.3,UNRESOLVED
Mandas,Lazio,72.7,UNRESOLVED
Consigli,Sassuolo,66.7,UNRESOLVED
Rui Patricio,Roma,66.7,UNRESOLVED
Musso,Atalanta,66.7,UNRESOLVED
Cerofolini,Frosinone,66.7,UNRESOLVED
Ochoa,Salernitana,66.7,UNRESOLVED
Aresti,Cagliari,66.7,UNRESOLVED
Fiorillo,Salernitana,66.7,UNRESOLVED
Cragno,Sassuolo,66.7,UNRESOLVED
Sorrentino A.,Monza,66.7,UNRESOLVED
Radunovic,Cagliari,66.7,UNRESOLVED
Mirante,Milan,66.7,UNRESOLVED
Lamanna,Monza,57.1,UNRESOLVED
Costil,Salernitana,66.7,UNRESOLVED
Brancolini,Lecce,70.6,UNRESOLVED
Bleve,Lecce,57.1,UNRESOLVED
Gemello,Torino,66.7,UNRESOLVED
Boer,Roma,66.7,UNRESOLVED
Adamonis,Lazio,62.5,UNRESOLVED
Piana,Udinese,66.7,UNRESOLVED
Luis Maximiano,Lazio,50.0,UNRESOLVED
Martinelli T.,Fiorentina,63.2,UNRESOLVED
Popa,Torino,66.7,UNRESOLVED
Stubljar,Empoli,57.1,UNRESOLVED
Stankovic F.,Inter,60.9,UNRESOLVED
Borbei,Lecce,71.4,UNRESOLVED
Palmisani,Frosinone,66.7,UNRESOLVED
Gasperini T.,Bologna,66.7,UNRESOLVED
Stolz,Genoa,60.0,UNRESOLVED
Hernandez T.,Milan,52.6,UNRESOLVED
Calafiori,Bologna,66.7,UNRESOLVED
Dragusin,Genoa,62.5,UNRESOLVED
Maehle,Atalanta,72.7,UNRESOLVED
Gendrey,Lecce,57.1,UNRESOLVED
Posch,Bologna,54.5,UNRESOLVED
Pavard,Inter,72.7,UNRESOLVED
Ruggeri,Atalanta,61.5,UNRESOLVED
Kayode,Fiorentina,60.0,UNRESOLVED
Florenzi,Milan,66.7,UNRESOLVED
Bani,Genoa,72.7,UNRESOLVED
Demiral,Atalanta,61.5,UNRESOLVED
Toljan,Sassuolo,61.5,UNRESOLVED
Singo,Torino,66.7,UNRESOLVED
Mari',Monza,72.7,UNRESOLVED
Birindelli,Monza,66.7,UNRESOLVED
Bijol,Udinese,72.7,UNRESOLVED
Sambia,Salernitana,71.4,UNRESOLVED
Ibanez,Roma,61.5,UNRESOLVED
Augello,Cagliari,66.7,UNRESOLVED
Monterisi,Frosinone,62.5,UNRESOLVED
Llorente D.,Roma,66.7,UNRESOLVED
Spence,Genoa,61.5,UNRESOLVED
Schuurs,Torino,50.0,UNRESOLVED
Manolas,Salernitana,71.4,UNRESOLVED
Bereszynski,Empoli,57.1,UNRESOLVED
Rogerio,Sassuolo,61.5,UNRESOLVED
Kyriakopoulos,Monza,45.5,UNRESOLVED
Erlic,Sassuolo,72.7,UNRESOLVED
Bakker,Atalanta,57.1,UNRESOLVED
Vogliacco,Genoa,62.5,UNRESOLVED
Ferrari G.,Sassuolo,58.8,UNRESOLVED
Karsdorp,Roma,61.5,UNRESOLVED
Boateng J.,Salernitana,66.7,UNRESOLVED
